company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
Poco,14999,81.0,Dimensity,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Vivo,35499,86.0,Dimensity,8.0,66.0,6.0,1080.0,2400.0,120.0,256.0
OnePlus,60999,89.0,Snapdragon,8.0,80.0,6.0,1440.0,3216.0,120.0,128.0
Xiaomi,32999,87.0,Dimensity,12.0,120.0,6.0,1080.0,2400.0,120.0,256.0
Samsung,15999,78.0,Snapdragon,4.0,25.0,6.0,1080.0,2408.0,120.0,128.0
Oppo,99990,78.25824800910125,Snapdragon,8.0,67.0,7.0,1792.0,1920.0,120.0,256.0
OPPO,9499,62.0,Helio,3.0,46.329588014981276,6.0,720.0,1612.0,111.63829787234043,64.0
Vivo,27994,86.0,Dimensity,12.0,44.0,6.0,1080.0,2400.0,90.0,256.0
iQOO,13989,75.0,Snapdragon,4.0,18.0,6.0,1080.0,2408.0,120.0,64.0
OnePlus,44999,85.0,Snapdragon,8.0,150.0,6.0,1080.0,2412.0,120.0,128.0
Xiaomi,13999,79.0,Dimensity,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
Gionee,6190,78.25824800910125,Tiger,4.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,32.0
Apple,119900,83.0,Bionic,6.0,46.329588014981276,6.0,1170.0,2532.0,120.0,128.0
OPPO,27660,83.0,Snapdragon,8.0,67.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,24999,75.0,Exynos,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Xiaomi,8388,66.0,Helio,4.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,64.0
Motorola,15999,83.0,Helio,6.0,33.0,6.0,1080.0,2400.0,120.0,128.0
Samsung,20999,82.0,Exynos,8.0,15.0,6.0,1080.0,2408.0,90.0,128.0
Realme,13999,75.0,Dimensity,4.0,18.0,6.0,1080.0,2400.0,90.0,64.0
Vivo,19990,83.0,Snapdragon,8.0,18.0,6.0,1080.0,2408.0,120.0,128.0
Samsung,13999,75.0,Dimensity,6.0,15.0,6.0,720.0,1600.0,90.0,128.0
Motorola,22999,83.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,144.0,128.0
Samsung,22999,79.0,Snapdragon,6.0,25.0,6.0,1080.0,2408.0,120.0,128.0
OPPO,16999,79.0,Dimensity,8.0,33.0,6.0,720.0,1612.0,90.0,128.0
Xiaomi,14290,80.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,90.0,128.0
Samsung,41999,78.25824800910125,Snapdragon,8.0,25.0,6.0,1080.0,2400.0,120.0,128.0
Vivo,13489,69.0,Helio,4.0,18.0,6.0,720.0,1600.0,111.63829787234043,64.0
OnePlus,22990,83.0,Dimensity,8.0,46.329588014981276,6.0,1080.0,2412.0,120.0,128.0
Motorola,16499,84.0,Snapdragon,8.0,46.329588014981276,6.0,1080.0,2400.0,120.0,128.0
Vivo,73999,78.25824800910125,Snapdragon,12.0,80.0,6.0,1440.0,3200.0,120.0,256.0
Realme,9999,67.0,Unisoc,4.0,46.329588014981276,6.0,720.0,1600.0,111.63829787234043,64.0
Realme,12499,75.0,Snapdragon,4.0,33.0,6.0,1080.0,2412.0,90.0,64.0
OPPO,12499,72.0,Helio,4.0,46.329588014981276,6.0,720.0,1612.0,111.63829787234043,64.0
iQOO,59999,88.0,Snapdragon,8.0,120.0,6.0,1440.0,3200.0,144.0,256.0
