,company,price,rating,processor,ram,battery,screen_size,width,height,frequency,rom
945,Motorola,59990,,Snapdragon,8.0,125.0,6.0,1080.0,2340.0,144.0,128.0
946,OnePlus,47990,86.0,Snapdragon,12.0,150.0,6.0,1080.0,2412.0,120.0,256.0
947,Realme,40990,86.0,Snapdragon,8.0,100.0,6.0,1080.0,2412.0,120.0,128.0
948,Samsung,22999,74.0,Octa,8.0,,6.0,1080.0,2400.0,,128.0
949,Samsung,12990,63.0,Octa,4.0,18.0,6.0,720.0,1560.0,,64.0
950,Infinix,14999,79.0,Helio,8.0,33.0,6.0,2400.0,1080.0,,128.0
951,POCO,42999,86.0,Dimensity,8.0,150.0,6.0,1080.0,2412.0,120.0,128.0
952,iQOO,14999,78.0,Snapdragon,4.0,18.0,6.0,1080.0,2412.0,120.0,128.0
953,Vivo,22990,83.0,Snapdragon,8.0,44.0,6.0,1080.0,2400.0,120.0,128.0
954,Vivo,118990,,Snapdragon,12.0,66.0,8.0,1916.0,2160.0,120.0,512.0
955,Oppo,29990,81.0,Snapdragon,8.0,80.0,6.0,1080.0,2400.0,120.0,128.0
956,Tecno,7399,62.0,Unisoc,3.0,,6.0,720.0,1612.0,90.0,64.0
957,iQOO,17999,80.0,Snapdragon,8.0,55.0,6.0,1080.0,2400.0,120.0,128.0
958,Infinix,12799,77.0,Helio,6.0,33.0,6.0,1080.0,2400.0,,128.0
959,Xiaomi,26999,86.0,Dimensity,8.0,120.0,6.0,2400.0,1080.0,120.0,128.0
960,Samsung,22999,82.0,Dimensity,8.0,15.0,6.0,1080.0,2408.0,90.0,128.0
961,Apple,147900,84.0,Bionic,6.0,,6.0,1170.0,2532.0,120.0,1.0
962,Nubia,44999,84.0,Snapdragon,8.0,30.0,6.0,1080.0,2400.0,165.0,128.0
963,Micromax,7790,68.0,Unisoc,6.0,,6.0,720.0,1600.0,,64.0
964,Nokia,39990,87.0,Snapdragon,6.0,33.0,6.0,1080.0,2400.0,144.0,128.0
965,Vivo,9999,65.0,Snapdragon,3.0,,6.0,720.0,1600.0,,32.0
966,Oppo,22990,80.0,Snapdragon,6.0,18.0,6.0,1080.0,2400.0,90.0,128.0
967,Poco,32999,79.0,Dimensity,6.0,67.0,6.0,1080.0,2400.0,120.0,128.0
968,Honor,32990,85.0,Snapdragon,6.0,66.0,6.0,1080.0,2340.0,120.0,128.0
969,OPPO,14999,74.0,Helio,6.0,,6.0,1600.0,720.0,,128.0
970,Realme,12499,74.0,Helio,4.0,18.0,6.0,1080.0,2412.0,120.0,64.0
971,iQOO,39990,84.0,Snapdragon,8.0,66.0,6.0,1080.0,2400.0,120.0,128.0
972,Realme,6499,61.0,"SC9863A,",2.0,,6.0,720.0,1600.0,,32.0
973,Samsung,18499,76.0,Helio,6.0,15.0,6.0,720.0,1600.0,,128.0
974,Realme,30994,85.0,Snapdragon,8.0,65.0,6.0,1080.0,2400.0,120.0,128.0
975,Google,32999,78.0,Snapdragon,6.0,18.0,6.0,1080.0,2400.0,,128.0
976,Samsung,10499,73.0,Exynos,4.0,15.0,6.0,720.0,1600.0,90.0,64.0
977,Samsung,19999,82.0,Exynos,6.0,15.0,6.0,1080.0,2340.0,,128.0
978,Samsung,17499,75.0,Exynos,6.0,,6.0,720.0,1600.0,,128.0
979,Xiaomi,10990,69.0,Helio,6.0,,6.0,720.0,1600.0,,128.0
980,Vivo,19000,82.0,Snapdragon,8.0,33.0,6.0,1080.0,2400.0,,128.0
981,OPPO,13990,70.0,Snapdragon,6.0,18.0,6.0,1600.0,720.0,90.0,128.0
982,Realme,10499,72.0,Helio,4.0,18.0,6.0,720.0,1600.0,,64.0
983,itel,5890,,Unisoc,3.0,,6.0,1520.0,720.0,,32.0
984,Realme,6490,61.0,Helio,2.0,,6.0,720.0,1600.0,,32.0
985,Xiaomi,54999,88.0,Snapdragon,8.0,30.0,6.0,1080.0,2340.0,90.0,256.0
986,Vivo,9990,65.0,Snapdragon,4.0,,6.0,720.0,1544.0,,64.0
987,OnePlus,24999,79.0,Snapdragon,8.0,30.0,6.0,1080.0,2400.0,90.0,128.0
988,Nokia,3399,,8,1200.0,4.0,,,,,
989,Sharp,59990,88.0,Snapdragon,12.0,,6.0,1440.0,3168.0,,256.0
990,Huawei,214990,,Kirin,12.0,,6.0,1176.0,2400.0,,512.0
991,Samsung,9990,63.0,Octa,2.0,15.0,6.0,720.0,1560.0,,32.0
992,Realme,6999,,Helio,2.0,,6.0,1560.0,720.0,,16.0
993,Huawei,169000,,Kirin,8.0,55.0,,2200.0,2480.0,,512.0
994,Samsung,39990,78.0,Snapdragon,6.0,,6.0,1080.0,2340.0,,128.0
995,Samsung,21490,70.0,Exynos,4.0,,,2220.0,1080.0,,64.0
996,Vivo,13490,,Snapdragon,3.0,,5.0,720.0,1280.0,,16.0
997,Poco,7999,70.0,Helio,4.0,,6.0,720.0,1650.0,,64.0
998,Blackview,8990,67.0,Helio,4.0,10.0,6.0,720.0,1560.0,,64.0
999,Honor,13999,75.0,Helio,6.0,22.0,6.0,720.0,1600.0,90.0,128.0
1000,XTouch,1999,,No,,32.0,,,,,
1001,OPPO,13990,72.0,Dimensity,6.0,10.0,6.0,720.0,1612.0,90.0,128.0
1002,Doogee,14999,84.0,Helio,8.0,33.0,6.0,1080.0,2340.0,,128.0
1003,Lava,6999,,Helio,3.0,,6.0,1600.0,720.0,,32.0
1004,Motorola,42990,87.0,Snapdragon,8.0,68.0,6.0,1080.0,2400.0,144.0,128.0
1005,iKall,6799,61.0,Quad,4.0,,6.0,720.0,1560.0,,64.0
1006,Oukitel,25899,72.0,Helio,6.0,,5.0,720.0,1520.0,,128.0
1007,Xiaomi,54999,89.0,Snapdragon,12.0,67.0,6.0,1440.0,3200.0,120.0,256.0
1008,Motorola,49990,89.0,Snapdragon,8.0,68.0,6.0,1080.0,2400.0,144.0,128.0
1009,Xiaomi,32990,86.0,Dimensity,8.0,80.0,6.0,1080.0,2400.0,120.0,256.0
